segmento,abril_15,n,prop,base,semana
Ciudades intermedias,A corto plazo habrá desabastecimiento,34,29,abril_15,Semana 2
Ciudades intermedias,A largo plazo habrá desabastecimiento,67,57,abril_15,Semana 2
Ciudades intermedias,No habrá desabastecimiento,17,14,abril_15,Semana 2
Municipios capitales y El Alto,A corto plazo habrá desabastecimiento,253,22,abril_15,Semana 2
Municipios capitales y El Alto,A largo plazo habrá desabastecimiento,618,53,abril_15,Semana 2
Municipios capitales y El Alto,No habrá desabastecimiento,299,25,abril_15,Semana 2
Municipios rurales,A corto plazo habrá desabastecimiento,21,30,abril_15,Semana 2
Municipios rurales,A largo plazo habrá desabastecimiento,33,47,abril_15,Semana 2
Municipios rurales,No habrá desabastecimiento,16,23,abril_15,Semana 2
