segmento,abril_15,n,prop,base,semana
Ciudades intermedias,A corto plazo habrá desabastecimiento,20,39,abril_15,Semana 1
Ciudades intermedias,A largo plazo habrá desabastecimiento,21,41,abril_15,Semana 1
Ciudades intermedias,No habrá desabastecimiento,10,20,abril_15,Semana 1
Municipios capitales y El Alto,A corto plazo habrá desabastecimiento,178,33,abril_15,Semana 1
Municipios capitales y El Alto,A largo plazo habrá desabastecimiento,237,44,abril_15,Semana 1
Municipios capitales y El Alto,No habrá desabastecimiento,120,23,abril_15,Semana 1
Municipios rurales,A corto plazo habrá desabastecimiento,27,43,abril_15,Semana 1
Municipios rurales,A largo plazo habrá desabastecimiento,28,44,abril_15,Semana 1
Municipios rurales,No habrá desabastecimiento,8,13,abril_15,Semana 1
