segmento,abril_15,n,prop,base,semana
Ciudades intermedias,A corto plazo habrá desabastecimiento,69,31,abril_15,Semana 4
Ciudades intermedias,A largo plazo habrá desabastecimiento,108,49,abril_15,Semana 4
Ciudades intermedias,No habrá desabastecimiento,43,20,abril_15,Semana 4
Municipios capitales y El Alto,A corto plazo habrá desabastecimiento,303,26,abril_15,Semana 4
Municipios capitales y El Alto,A largo plazo habrá desabastecimiento,564,48,abril_15,Semana 4
Municipios capitales y El Alto,No habrá desabastecimiento,316,27,abril_15,Semana 4
Municipios rurales,A corto plazo habrá desabastecimiento,46,42,abril_15,Semana 4
Municipios rurales,A largo plazo habrá desabastecimiento,43,39,abril_15,Semana 4
Municipios rurales,No habrá desabastecimiento,21,19,abril_15,Semana 4
